Date,Open,High,Low,Close,Adj Close,Volume
1962-1-2,1.604167,1.619792,1.588542,1.604167,0.556273,163200
1962-1-3,1.604167,1.619792,1.588542,1.619792,0.561691,156000
1962-1-4,1.65625,1.708333,1.65625,1.661458,0.57614,355200
1962-1-5,1.661458,1.697917,1.65625,1.677083,0.581558,163200
1962-1-9,1.6875,1.71875,1.671875,1.703125,0.590589,290400
1962-1-10,1.703125,1.713542,1.677083,1.682292,0.583364,182400
1962-1-11,1.682292,1.708333,1.666667,1.708333,0.592395,384000
1962-1-12,1.708333,1.739583,1.6875,1.71875,0.596007,352800
1962-1-15,1.71875,1.729167,1.6875,1.713542,0.594201,280800
1962-1-16,1.697917,1.697917,1.677083,1.6875,0.58875,163200
1962-1-17,1.6875,1.708333,1.677083,1.682292,0.586933,160800
1962-1-18,1.682292,1.71875,1.682292,1.71875,0.599653,261600
1962-1-19,1.71875,1.75,1.6875,1.75,0.610556,357600
1962-1-22,1.75,1.770833,1.744792,1.744792,0.608739,261600
1962-1-23,1.744792,1.760417,1.708333,1.708333,0.596018,223200
,,,,,,
1962-1-25,1.697917,1.723958,1.692708,1.708333,0.596018,151200
1962-1-26,1.708333,1.723958,1.6875,1.708333,0.596018,108000
1962-1-29,1.708333,1.723958,1.703125,1.723958,0.60147,122400
1962-1-30,1.71875,1.71875,1.692708,1.697917,0.592385,120000
,,,,,,
1962-2-1,1.708333,1.75,1.708333,1.739583,0.606922,112800
1962-2-2,1.739583,1.744792,1.723958,1.729167,0.603287,199200
1962-2-5,1.729167,1.734375,1.723958,1.723958,0.60147,96000
,,,,,,
1962-2-7,1.734375,1.744792,1.713542,1.713542,0.597836,122400
1962-2-8,1.713542,1.71875,1.713542,1.713542,0.597836,141600
1962-2-9,1.713542,1.71875,1.692708,1.692708,0.590568,115200
1962-2-12,1.692708,1.697917,1.671875,1.697917,0.592385,98400
1962-2-13,1.697917,1.703125,1.682292,1.692708,0.590568,86400
1962-2-14,1.692708,1.692708,1.666667,1.677083,0.585116,177600
1962-2-15,1.671875,1.671875,1.645833,1.666667,0.581482,60000
1962-2-16,1.666667,1.6875,1.635417,1.677083,0.585116,88800
1962-2-19,1.677083,1.692708,1.661458,1.677083,0.585116,170400
1962-2-20,1.677083,1.682292,1.666667,1.671875,0.583299,
1962-2-21,1.671875,1.671875,1.625,1.635417,0.570579,98400
1962-2-23,1.635417,1.65625,1.625,1.635417,0.570579,96000
1962-2-26,1.666667,1.697917,1.666667,1.697917,0.592385,158400
1962-2-27,1.697917,1.708333,1.677083,1.682292,0.586933,117600
1962-2-28,1.682292,1.703125,1.666667,1.682292,0.586933,139200
1962-3-1,1.682292,1.703125,1.682292,1.682292,0.586933,74400
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1962-3-9,1.640625,1.645833,1.635417,1.635417,0.570579,86400
1962-3-12,1.635417,1.640625,1.614583,1.614583,0.563311,96000
1962-3-13,1.614583,1.635417,1.588542,1.625,0.566945,141600
1962-3-14,1.630208,1.661458,1.630208,1.661458,0.579665,117600
1962-3-15,1.661458,1.661458,1.635417,1.645833,0.574213,139200
1962-3-16,1.645833,1.661458,1.645833,1.661458,0.579665,79200
1962-3-19,1.661458,1.682292,1.651042,1.661458,0.579665,105600
1962-3-20,1.666667,1.697917,1.666667,1.697917,0.592385,177600
1962-3-21,1.697917,1.703125,1.645833,1.65625,0.577848,232800
1962-3-22,1.666667,1.692708,1.666667,1.682292,0.586933,268800
1962-3-23,1.682292,1.697917,1.671875,1.682292,0.586933,189600
1962-3-26,1.682292,1.6875,1.65625,1.671875,0.583299,124800
1962-3-27,1.671875,1.677083,1.666667,1.671875,0.583299,112800
1962-3-28,1.671875,1.703125,1.671875,1.703125,0.594202,146400
1962-3-29,1.703125,1.703125,1.677083,1.682292,0.586933,91200
1962-3-30,1.682292,1.703125,1.677083,1.703125,0.594202,86400
1962-4-2,1.697917,1.697917,1.661458,1.671875,0.583299,230400
1962-4-3,1.671875,1.692708,1.661458,1.666667,0.581482,168000
1962-4-4,1.666667,1.682292,1.661458,1.671875,0.583299,115200
1962-4-5,1.671875,1.6875,1.666667,1.6875,0.58875,192000
1962-4-6,1.682292,1.682292,1.661458,1.682292,0.586933,148800
1962-4-9,1.682292,1.682292,1.661458,1.661458,0.579665,124800
1962-4-10,1.661458,1.677083,1.651042,1.677083,0.585116,120000
1962-4-11,1.677083,1.692708,1.65625,1.671875,0.583299,182400
1962-4-12,1.661458,1.661458,1.635417,1.65625,0.577848,158400
1962-4-13,1.651042,1.651042,1.614583,1.614583,0.563311,38400
1962-4-16,1.609375,1.609375,1.552083,1.572917,0.552338,129600
1962-4-17,1.578125,1.619792,1.578125,1.59375,0.559654,172800
1962-4-18,1.59375,1.614583,1.583333,1.604167,0.563312,132000
1962-4-19,1.604167,1.625,1.604167,1.604167,0.563312,81600
1962-4-23,1.598958,1.598958,1.541667,1.546875,0.543194,136800
1962-4-24,1.552083,1.572917,1.552083,1.572917,0.552338,103200
1962-4-25,1.5625,1.5625,1.53125,1.53125,0.537707,120000
1962-4-26,1.536458,1.578125,1.536458,1.552083,0.545023,163200
1962-4-27,1.552083,1.557292,1.520833,1.541667,0.541365,182400
1962-4-30,1.541667,1.541667,1.46875,1.479167,0.519417,187200
1962-5-1,1.479167,1.494792,1.427083,1.489583,0.523075,228000
1962-5-2,1.489583,1.515625,1.489583,1.5,0.526733,139200
1962-5-3,1.5,1.567708,1.494792,1.567708,0.550509,79200
1962-5-4,1.567708,1.583333,1.552083,1.552083,0.545023,76800
1962-5-7,1.552083,1.5625,1.541667,1.552083,0.545023,182400
1962-5-8,1.552083,1.572917,1.546875,1.552083,0.545023,129600
1962-5-9,1.552083,1.5625,1.5,1.541667,0.541365,96000
1962-5-10,1.536458,-1.15,1.46875,1.473958,0.517588,16800
1962-5-11,1.473958,1.473958,1.453125,1.473958,0.517588,141600
1962-5-14,1.473958,1.53125,1.447917,1.447917,0.508443,146400
1962-5-15,1.5,1.536458,1.5,1.526042,0.535878,132000
1962-5-16,1.526042,1.526042,1.505208,1.515625,0.53222,103200
1962-5-17,1.515625,1.520833,1.5,1.510417,0.530391,180000
1962-5-18,1.520833,1.552083,1.520833,1.536458,0.539536,187200
1962-5-21,1.536458,1.536458,1.510417,1.520833,0.534049,132000
1962-5-22,1.520833,1.53125,1.5,1.5,0.526733,117600
1962-5-23,1.5,1.505208,1.453125,1.463542,0.513931,256800
1962-5-24,1.463542,1.494792,1.442708,1.447917,0.508443,336000
1962-5-25,1.447917,1.458333,1.427083,1.442708,0.506615,156000
,,,,,,
1962-5-29,1.364583,1.4375,1.291667,1.354167,0.475523,451200
1962-5-31,1.395833,1.442708,1.395833,1.432292,0.502957,196800
1962-6-1,1.432292,1.453125,1.416667,1.453125,0.510273,148800
1962-6-4,1.427083,1.427083,1.385417,1.390625,0.488326,158400
1962-6-5,1.390625,1.432292,1.380208,1.411458,0.495641,196800
,,,,,,
1962-6-7,1.4375,1.489583,1.432292,1.458333,0.512102,153600
1962-6-8,1.453125,1.453125,1.421875,1.453125,0.510273,112800
1962-6-11,1.447917,1.447917,1.390625,1.40625,0.493812,120000
1962-6-12,1.395833,1.395833,1.380208,1.395833,0.490154,220800
1962-6-13,1.395833,1.4375,1.375,1.380208,0.484668,266400
1962-6-14,1.375,1.375,1.338542,1.338542,0.470036,544800
1962-6-15,1.338542,1.369792,1.338542,1.369792,0.48101,278400
1962-6-18,1.380208,1.401042,1.380208,1.380208,0.484668,199200
1962-6-19,1.380208,1.390625,1.364583,1.390625,0.488326,148800
1962-6-20,1.390625,1.390625,1.354167,1.364583,0.479181,139200
1962-6-21,1.364583,1.385417,1.333333,1.333333,0.468207,225600
1962-6-22,1.333333,1.354167,1.286458,1.286458,0.451747,379200
1962-6-25,1.28125,1.28125,1.229167,1.234375,0.433457,319200
1962-6-26,1.234375,1.276042,1.229167,1.255208,0.440773,211200
1962-6-27,1.25,1.25,1.229167,1.25,0.438944,124800
1962-6-28,1.270833,1.34375,1.270833,1.317708,0.46272,146400
1962-6-29,1.317708,1.354167,1.3125,1.328125,0.466378,158400
1962-7-2,1.328125,1.364583,1.3125,1.333333,0.468207,122400
1962-7-3,1.333333,1.359375,1.333333,1.348958,0.473694,120000
1962-7-5,1.359375,1.395833,1.359375,1.385417,0.486497,98400
1962-7-6,1.385417,1.385417,1.333333,1.375,0.482839,108000
1962-7-9,1.369792,1.369792,1.348958,1.369792,0.48101,96000
1962-7-10,1.375,1.432292,1.375,1.375,0.482839,321600
1962-7-11,1.359375,1.359375,1.333333,1.354167,0.475523,160800
1962-7-12,1.354167,1.375,1.354167,1.359375,0.477352,136800
1962-7-13,1.359375,1.364583,1.338542,1.338542,0.470036,117600
1962-7-16,1.338542,1.369792,1.338542,1.354167,0.475523,132000
1962-7-17,1.354167,1.359375,1.328125,1.333333,0.471838,283200
1962-7-18,1.322917,1.322917,1.296875,1.302083,0.460779,170400
1962-7-19,1.302083,1.322917,1.296875,1.302083,0.460779,175200
1962-7-20,1.307292,1.338542,1.307292,1.328125,0.469995,172800
1962-7-23,1.328125,1.34375,1.3125,1.317708,0.466308,127200
1962-7-24,1.3125,1.3125,1.291667,1.291667,0.457093,302400
1962-7-25,1.28125,1.28125,1.229167,1.276042,0.451564,196800
1962-7-26,1.270833,1.270833,1.260417,1.270833,0.449721,112800
1962-7-27,1.270833,1.307292,1.265625,1.291667,0.457093,105600
,,,,,,
1962-7-31,1.296875,1.322917,1.296875,1.322917,0.468152,132000
,,,,,,
1962-8-2,1.317708,1.328125,1.307292,1.317708,0.466308,103200
1962-8-3,1.317708,1.333333,1.317708,1.333333,0.471838,52800
1962-8-6,1.333333,1.348958,1.333333,1.34375,0.475524,88800
1962-8-7,1.34375,1.354167,1.317708,1.348958,0.477367,151200
1962-8-8,1.338542,1.338542,1.317708,1.328125,0.469995,115200
1962-8-9,1.328125,1.333333,1.3125,1.317708,0.466308,172800
